t,agent_id,digit,x,y,z,brightness,role,model
0.0,1,2,0.0813,0.9187,120.0,0.0,leader,RL-PPO
0.0,2,2,0.2315,0.9204,120.0,0.0,follower,DL-CNN (vision)
0.0,3,2,0.3866,0.921,120.0,0.0,follower,Classical-MPC
0.0,4,2,0.5369,0.92,120.0,0.0,follower,DL-CNN (vision)
0.0,5,2,0.6921,0.9208,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.0,6,2,0.8447,0.9201,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,7,2,0.9213,0.5266,120.0,0.0,follower,Classical-MPC
0.0,8,2,0.92,0.6404,120.0,0.0,leader,IL-BC (behavior cloning)
0.0,9,2,0.9208,0.7786,120.0,0.0,follower,RL-PPO
0.0,10,2,0.9189,0.8922,120.0,0.0,follower,DL-CNN (vision)
0.0,11,2,0.1551,0.4989,120.0,0.0,follower,DL-CNN (vision)
0.0,12,2,0.3079,0.4986,120.0,0.0,edge-relay,RL-PPO
0.0,13,2,0.4626,0.4986,120.0,0.0,follower,DL-Transformer (coord)
0.0,14,2,0.6135,0.5002,120.0,0.0,leader,DL-Transformer (coord)
0.0,15,2,0.7664,0.5005,120.0,0.0,follower,Classical-MPC
0.0,16,2,0.9187,0.4996,120.0,0.0,safety-sentry,Classical-MPC
0.0,17,2,0.0788,0.2004,120.0,0.0,follower,RL-PPO
0.0,18,2,0.0811,0.321,120.0,0.0,follower,RL-SAC
0.0,19,2,0.0787,0.44,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.0,20,2,0.1195,0.0786,120.0,0.0,leader,RL-PPO
0.0,21,2,0.2709,0.0804,120.0,0.0,follower,RL-SAC
0.0,22,2,0.423,0.0813,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.0,23,2,0.5778,0.0807,120.0,0.0,follower,RL-PPO
0.0,24,2,0.7304,0.0802,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,25,2,0.9187,0.0796,120.0,0.0,safety-sentry,Classical-MPC
0.0,26,0,1.3309,0.9202,120.0,0.0,follower,RL-PPO
0.0,27,0,1.4976,0.9209,120.0,0.0,follower,DL-Transformer (coord)
0.0,28,0,1.6666,0.919,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,29,0,1.8331,0.9208,120.0,0.0,follower,Classical-MPC
0.0,30,0,2.0029,0.9191,120.0,0.0,follower,RL-SAC
0.0,31,0,2.1691000000000003,0.9204,120.0,0.0,follower,RL-PPO
0.0,32,0,2.1709,0.5888,120.0,0.0,follower,Classical-MPC
0.0,33,0,2.1711,0.7114,120.0,0.0,follower,Classical-MPC
0.0,34,0,2.1691000000000003,0.8608,120.0,0.0,follower,RL-SAC
0.0,35,0,2.1692,0.1118,120.0,0.0,follower,DL-CNN (vision)
0.0,36,0,2.1708,0.2419,120.0,0.0,edge-relay,IL-BC (behavior cloning)
0.0,37,0,2.1711,0.3698,120.0,0.0,follower,Classical-MPC
0.0,38,0,2.1687,0.4997,120.0,0.0,follower,RL-PPO
0.0,39,0,1.4569,0.0788,120.0,0.0,follower,DL-Transformer (coord)
0.0,40,0,1.6251,0.0814,120.0,0.0,follower,Classical-MPC
0.0,41,0,1.7917,0.0788,120.0,0.0,follower,DL-Transformer (coord)
0.0,42,0,2.0029,0.0791,120.0,0.0,follower,RL-PPO
0.0,43,0,2.1691000000000003,0.0804,120.0,0.0,follower,RL-PPO
0.0,44,0,1.3309,0.1757,120.0,0.0,follower,RL-SAC
0.0,45,0,1.3311,0.3076,120.0,0.0,follower,Classical-MPC
0.0,46,0,1.3296999999999999,0.4342,120.0,0.0,follower,RL-PPO
0.0,47,0,1.3292,0.5295,120.0,0.0,follower,RL-PPO
0.0,48,0,1.3308,0.6503,120.0,0.0,safety-sentry,DL-CNN (vision)
0.0,49,0,1.3311,0.769,120.0,0.0,follower,RL-PPO
0.0,50,0,1.3285,0.9199,120.0,0.0,follower,RL-PPO
0.0,51,2,2.5813,0.9187,120.0,0.0,follower,RL-PPO
0.0,52,2,2.7315,0.9204,120.0,0.0,follower,DL-Transformer (coord)
0.0,53,2,2.8866,0.921,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,54,2,3.0369,0.92,120.0,0.0,follower,DL-CNN (vision)
0.0,55,2,3.1921,0.9208,120.0,0.0,follower,RL-PPO
0.0,56,2,3.3447,0.9201,120.0,0.0,leader,DL-CNN (vision)
0.0,57,2,3.4213,0.5266,120.0,0.0,follower,DL-Transformer (coord)
0.0,58,2,3.42,0.6404,120.0,0.0,follower,Classical-MPC
0.0,59,2,3.4208,0.7786,120.0,0.0,follower,Classical-MPC
0.0,60,2,3.4189,0.8922,120.0,0.0,follower,RL-SAC
0.0,61,2,2.6551,0.4989,120.0,0.0,safety-sentry,RL-PPO
0.0,62,2,2.8079,0.4986,120.0,0.0,follower,Classical-MPC
0.0,63,2,2.9626,0.4986,120.0,0.0,leader,Classical-MPC
0.0,64,2,3.1135,0.5002,120.0,0.0,follower,DL-CNN (vision)
0.0,65,2,3.2664,0.5005,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,66,2,3.4187,0.4996,120.0,0.0,follower,Classical-MPC
0.0,67,2,2.5788,0.2004,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.0,68,2,2.5811,0.321,120.0,0.0,safety-sentry,Classical-MPC
0.0,69,2,2.5787,0.44,120.0,0.0,edge-relay,RL-PPO
0.0,70,2,2.6195,0.0786,120.0,0.0,follower,RL-SAC
0.0,71,2,2.7709,0.0804,120.0,0.0,edge-relay,RL-SAC
