t,agent_id,digit,x,y,z,brightness,role,model
0.0,1,1,0.9198,0.5012,120.0,0.0,leader,RL-PPO
0.0,2,1,0.9201,0.5096,120.0,0.0,follower,DL-CNN (vision)
0.0,3,1,0.9196,0.5174,120.0,0.0,follower,Classical-MPC
0.0,4,1,0.9196,0.5252,120.0,0.0,follower,DL-CNN (vision)
0.0,5,1,0.9202,0.5348,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.0,6,1,0.9211,0.5421,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,7,1,0.9206,0.5521,120.0,0.0,follower,Classical-MPC
0.0,8,1,0.9211,0.5592,120.0,0.0,leader,IL-BC (behavior cloning)
0.0,9,1,0.9213,0.5674,120.0,0.0,follower,RL-PPO
0.0,10,1,0.9198,0.5784,120.0,0.0,follower,DL-CNN (vision)
0.0,11,1,0.9201,0.5851,120.0,0.0,follower,DL-CNN (vision)
0.0,12,1,0.92,0.5942,120.0,0.0,edge-relay,RL-PPO
0.0,13,1,0.9204,0.6028,120.0,0.0,follower,DL-Transformer (coord)
0.0,14,1,0.9212,0.6111,120.0,0.0,leader,DL-Transformer (coord)
0.0,15,1,0.9195,0.6212,120.0,0.0,follower,Classical-MPC
0.0,16,1,0.9213,0.6285,120.0,0.0,safety-sentry,Classical-MPC
0.0,17,1,0.921,0.6364,120.0,0.0,follower,RL-PPO
0.0,18,1,0.9201,0.6466,120.0,0.0,follower,RL-SAC
0.0,19,1,0.921,0.6532,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.0,20,1,0.9203,0.663,120.0,0.0,leader,RL-PPO
0.0,21,1,0.9201,0.6722,120.0,0.0,follower,RL-SAC
0.0,22,1,0.9193,0.6789,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.0,23,1,0.9211,0.6888,120.0,0.0,follower,RL-PPO
0.0,24,1,0.9214,0.6957,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,25,1,0.9197,0.7054,120.0,0.0,safety-sentry,Classical-MPC
0.0,26,1,0.9211,0.7137,120.0,0.0,follower,RL-PPO
0.0,27,1,0.9201,0.7236,120.0,0.0,follower,DL-Transformer (coord)
0.0,28,1,0.9195,0.7314,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,29,1,0.9196,0.7399,120.0,0.0,follower,Classical-MPC
0.0,30,1,0.9212,0.7479,120.0,0.0,follower,RL-SAC
0.0,31,1,0.9203,0.7585,120.0,0.0,follower,RL-PPO
0.0,32,1,0.9207,0.7669,120.0,0.0,follower,Classical-MPC
0.0,33,1,0.919,0.7748,120.0,0.0,follower,Classical-MPC
0.0,34,1,0.92,0.7825,120.0,0.0,follower,RL-SAC
0.0,35,1,0.9187,0.7904,120.0,0.0,follower,DL-CNN (vision)
0.0,36,1,0.9187,0.8009,120.0,0.0,edge-relay,IL-BC (behavior cloning)
0.0,37,1,0.9211,0.8087,120.0,0.0,follower,Classical-MPC
0.0,38,1,0.9191,0.8158,120.0,0.0,follower,RL-PPO
0.0,39,1,0.9203,0.8243,120.0,0.0,follower,DL-Transformer (coord)
0.0,40,1,0.9202,0.8336,120.0,0.0,follower,Classical-MPC
0.0,41,1,0.9194,0.8426,120.0,0.0,follower,DL-Transformer (coord)
0.0,42,1,0.9213,0.8505,120.0,0.0,follower,RL-PPO
0.0,43,1,0.9186,0.8612,120.0,0.0,follower,RL-PPO
0.0,44,1,0.9195,0.8697,120.0,0.0,follower,RL-SAC
0.0,45,1,0.9188,0.8767,120.0,0.0,follower,Classical-MPC
0.0,46,1,0.9207,0.886,120.0,0.0,follower,RL-PPO
0.0,47,1,0.9192,0.8938,120.0,0.0,follower,RL-PPO
0.0,48,1,0.9203,0.9042,120.0,0.0,safety-sentry,DL-CNN (vision)
0.0,49,1,0.9211,0.9113,120.0,0.0,follower,RL-PPO
0.0,50,1,0.9187,0.92,120.0,0.0,follower,RL-PPO
0.0,51,1,0.9198,0.0812,120.0,0.0,follower,RL-PPO
0.0,52,1,0.9201,0.0896,120.0,0.0,follower,DL-Transformer (coord)
0.0,53,1,0.9196,0.0974,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,54,1,0.9196,0.1052,120.0,0.0,follower,DL-CNN (vision)
0.0,55,1,0.9202,0.1148,120.0,0.0,follower,RL-PPO
0.0,56,1,0.9211,0.1221,120.0,0.0,leader,DL-CNN (vision)
0.0,57,1,0.9206,0.1321,120.0,0.0,follower,DL-Transformer (coord)
0.0,58,1,0.9211,0.1392,120.0,0.0,follower,Classical-MPC
0.0,59,1,0.9213,0.1474,120.0,0.0,follower,Classical-MPC
0.0,60,1,0.9198,0.1584,120.0,0.0,follower,RL-SAC
0.0,61,1,0.9201,0.1651,120.0,0.0,safety-sentry,RL-PPO
0.0,62,1,0.92,0.1742,120.0,0.0,follower,Classical-MPC
0.0,63,1,0.9204,0.1828,120.0,0.0,leader,Classical-MPC
0.0,64,1,0.9212,0.1911,120.0,0.0,follower,DL-CNN (vision)
0.0,65,1,0.9195,0.2012,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,66,1,0.9213,0.2085,120.0,0.0,follower,Classical-MPC
0.0,67,1,0.921,0.2164,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.0,68,1,0.9201,0.2266,120.0,0.0,safety-sentry,Classical-MPC
0.0,69,1,0.921,0.2332,120.0,0.0,edge-relay,RL-PPO
0.0,70,1,0.9203,0.243,120.0,0.0,follower,RL-SAC
0.0,71,1,0.9201,0.2522,120.0,0.0,edge-relay,RL-SAC
0.0,72,1,0.9193,0.2589,120.0,0.0,follower,RL-PPO
0.0,73,1,0.9211,0.2688,120.0,0.0,follower,Classical-MPC
0.0,74,1,0.9214,0.2757,120.0,0.0,follower,RL-PPO
0.0,75,1,0.9197,0.2854,120.0,0.0,follower,DL-Transformer (coord)
0.0,76,1,0.9211,0.2937,120.0,0.0,follower,RL-PPO
0.0,77,1,0.9201,0.3036,120.0,0.0,follower,DL-CNN (vision)
0.0,78,1,0.9195,0.3114,120.0,0.0,follower,DL-CNN (vision)
0.0,79,1,0.9196,0.3199,120.0,0.0,follower,RL-SAC
0.0,80,1,0.9212,0.3279,120.0,0.0,follower,DL-Transformer (coord)
0.0,81,1,0.9203,0.3385,120.0,0.0,follower,DL-Transformer (coord)
0.0,82,1,0.9207,0.3469,120.0,0.0,follower,DL-CNN (vision)
0.0,83,1,0.919,0.3548,120.0,0.0,follower,IL-BC (behavior cloning)
0.0,84,1,0.92,0.3625,120.0,0.0,follower,RL-PPO
0.0,85,1,0.9187,0.3704,120.0,0.0,edge-relay,RL-SAC
0.0,86,1,0.9187,0.3809,120.0,0.0,follower,DL-CNN (vision)
0.0,87,1,0.9211,0.3887,120.0,0.0,follower,DL-CNN (vision)
0.0,88,1,0.9191,0.3958,120.0,0.0,follower,RL-SAC
0.0,89,1,0.9203,0.4043,120.0,0.0,edge-relay,Classical-MPC
0.0,90,1,0.9202,0.4136,120.0,0.0,follower,Classical-MPC
0.0,91,1,0.9194,0.4226,120.0,0.0,edge-relay,RL-PPO
0.0,92,1,0.9213,0.4305,120.0,0.0,safety-sentry,DL-CNN (vision)
0.0,93,1,0.9186,0.4412,120.0,0.0,leader,RL-SAC
0.0,94,1,0.9195,0.4497,120.0,0.0,edge-relay,DL-CNN (vision)
0.0,95,1,0.9188,0.4567,120.0,0.0,follower,RL-SAC
0.0,96,1,0.9207,0.466,120.0,0.0,follower,DL-Transformer (coord)
0.0,97,1,0.9192,0.4738,120.0,0.0,edge-relay,Classical-MPC
0.0,98,1,0.9203,0.4842,120.0,0.0,follower,DL-CNN (vision)
0.0,99,1,0.9211,0.4913,120.0,0.0,follower,DL-Transformer (coord)
0.0,100,1,0.9187,0.5,120.0,0.0,follower,DL-Transformer (coord)
0.04,1,1,0.9198,0.5012,120.0,0.0,leader,RL-PPO
0.04,2,1,0.9201,0.5096,120.0,0.0,follower,DL-CNN (vision)
0.04,3,1,0.9196,0.5174,120.0,0.0,follower,Classical-MPC
0.04,4,1,0.9196,0.5252,120.0,0.0,follower,DL-CNN (vision)
0.04,5,1,0.9202,0.5348,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.04,6,1,0.9211,0.5421,120.0,0.0,follower,IL-BC (behavior cloning)
0.04,7,1,0.9206,0.5521,120.0,0.0,follower,Classical-MPC
0.04,8,1,0.9211,0.5592,120.0,0.0,leader,IL-BC (behavior cloning)
0.04,9,1,0.9213,0.5674,120.0,0.0,follower,RL-PPO
0.04,10,1,0.9198,0.5784,120.0,0.0,follower,DL-CNN (vision)
0.04,11,1,0.9201,0.5851,120.0,0.0,follower,DL-CNN (vision)
0.04,12,1,0.92,0.5942,120.0,0.0,edge-relay,RL-PPO
0.04,13,1,0.9204,0.6028,120.0,0.0,follower,DL-Transformer (coord)
0.04,14,1,0.9212,0.6111,120.0,0.0,leader,DL-Transformer (coord)
0.04,15,1,0.9195,0.6212,120.0,0.0,follower,Classical-MPC
0.04,16,1,0.9213,0.6285,120.0,0.0,safety-sentry,Classical-MPC
0.04,17,1,0.921,0.6364,120.0,0.0,follower,RL-PPO
0.04,18,1,0.9201,0.6466,120.0,0.0,follower,RL-SAC
0.04,19,1,0.921,0.6532,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.04,20,1,0.9203,0.663,120.0,0.0,leader,RL-PPO
0.04,21,1,0.9201,0.6722,120.0,0.0,follower,RL-SAC
0.04,22,1,0.9193,0.6789,120.0,0.0,safety-sentry,DL-Transformer (coord)
0.04,23,1,0.9211,0.6888,120.0,0.0,follower,RL-PPO
0.04,24,1,0.9214,0.6957,120.0,0.0,follower,IL-BC (behavior cloning)
0.04,25,1,0.9197,0.7054,120.0,0.0,safety-sentry,Classical-MPC
0.04,26,1,0.9211,0.7137,120.0,0.0,follower,RL-PPO
0.04,27,1,0.9201,0.7236,120.0,0.0,follower,DL-Transformer (coord)
0.04,28,1,0.9195,0.7314,120.0,0.0,follower,IL-BC (behavior cloning)
0.04,29,1,0.9196,0.7399,120.0,0.0,follower,Classical-MPC
